,name,time
0,p=1;thr=1,0.07539989999999996
1,p=1;thr=2,0.07937989999999995
2,p=1;thr=4,0.08203179999999999
3,p=1;thr=8,0.08220879999999997
4,p=1;thr=16,0.08398810000000001
5,p=1,0.7312612000000001
6,p=2,0.6591800999999999
7,p=4,1.023888
8,p=8,1.2194638000000007
9,p=16,3.6197455000000005
10,p=1;thr=1,0.07556969999999907
11,p=1;thr=2,0.07763010000000037
12,p=1;thr=4,0.07723419999999948
13,p=1;thr=8,0.10066499999999934
14,p=1;thr=16,0.0808485000000001
15,p=1,0.5891000000000002
16,p=2,0.6228348999999991
17,p=4,0.7122643000000011
18,p=8,1.102933499999999
19,p=16,2.7163584000000007
20,p=1;thr=1,0.0761959000000001
21,p=1;thr=2,0.07473580000000091
22,p=1;thr=4,0.0764446000000003
23,p=1;thr=8,0.0794895000000011
24,p=1;thr=16,0.07947920000000153
25,p=1,0.6127353999999983
26,p=2,0.6152516000000006
27,p=4,0.7056457000000016
28,p=8,0.939269399999997
29,p=16,2.705694000000001
30,p=1;thr=1,0.07688820000000263
31,p=1;thr=2,0.07822649999999953
32,p=1;thr=4,0.07605249999999941
33,p=1;thr=8,0.07953730000000192
34,p=1;thr=16,0.07867580000000274
35,p=1,0.6098406999999995
36,p=2,0.6142152000000003
37,p=4,0.8218956000000013
38,p=8,1.2035303000000006
39,p=16,2.7104412999999994
40,p=1;thr=1,0.07682009999999906
41,p=1;thr=2,0.07867720000000133
42,p=1;thr=4,0.07876750000000143
43,p=1;thr=8,0.08074559999999664
44,p=1;thr=16,0.0842585999999983
45,p=1,0.6088889000000002
46,p=2,0.6230654999999992
47,p=4,0.7141908000000008
48,p=8,1.2424602
49,p=16,2.763688000000002
